"Date","Ozone","AQI","Temp","NO2","PM2.5","CO"
2012-01-01,0.041,38,67,5,30.6,1.9
2012-01-02,0.039,36,64.5,13,16.8,1.2
2012-01-03,0.036,33,64.5,20,16.2,1.1
2012-01-04,0.04,37,68.5,13,8,1.2
2012-01-05,0.018,17,67,29,9.3,0.9
2012-01-06,0.019,18,60.5,37,17.2,1
2012-01-07,0.04,37,57,23,23.3,0.9
2012-01-08,0.039,36,56.5,11,18.7,0.8
2012-01-09,0.014,13,53.5,26,14.5,1
2012-01-10,0.014,13,54,30,9.6,1
2012-01-11,0.013,12,54.5,36,19.8,1.1
2012-01-12,0.04,37,58,17,19.2,1.2
2012-01-13,0.042,39,59,17,4.3,1.1
2012-01-14,0.035,32,57,11,22.2,1
2012-01-15,0.041,38,53,11,22.3,1.1
2012-01-16,0.037,34,49,10,12.8,0.4
2012-01-17,0.039,36,43,15,13,0.5
2012-01-18,0.04,37,48.5,28,19.7,0.9
2012-01-19,0.033,31,51,31,27,1
2012-01-20,0.032,30,49.5,47,24.2,0.9
2012-01-21,0.033,31,50.5,14,18.3,0.7
2012-01-22,0.041,38,46,10,18.7,0.9
2012-01-23,0.034,31,47,8,12.5,0.8
2012-01-24,0.038,35,50,12,10.2,0.6
2012-01-25,0.033,31,62,24,13.1,0.9
2012-01-26,0.038,35,62.5,22,13,1.1
2012-01-27,0.04,37,60,6,9.1,0.8
2012-01-28,0.044,41,59,5,5,0.7
2012-01-29,0.044,41,56.5,5,5,0.8
2012-01-30,0.046,43,57,16,12.2,0.9
2012-01-31,0.041,38,55.5,19,13.4,0.5
2012-02-01,0.043,40,50,25,16.5,0.6
2012-02-02,0.043,40,51.5,22,20.6,0.8
2012-02-03,0.043,40,53,17,8.4,0.9
2012-02-04,0.046,43,53.5,3,12.7,1
2012-02-05,0.048,44,55.5,6,14,0.7
2012-02-06,0.039,36,58,28,8.5,0.9
2012-02-07,0.037,34,52,21,11.7,0.7
2012-02-08,0.044,41,55,10,8.4,0.6
2012-02-09,0.043,40,60.5,26,8.6,0.8
2012-02-10,0.044,41,60.5,25,10.2,0.8
2012-02-11,0.04,37,51,15,9.8,0.4
2012-02-12,0.037,34,50,3,6,0.2
2012-02-13,0.038,35,50,9,5,0.2
2012-02-14,0.038,35,47,10,6.3,0.4
2012-02-15,0.037,34,46,12,7,0.4
2012-02-16,0.041,38,48,9,7.5,0.5
2012-02-17,0.04,37,51.5,20,9.2,0.8
2012-02-18,0.041,38,48,10,9.7,0.5
2012-02-19,0.042,39,50.5,3,9.9,0.3
2012-02-20,0.041,38,47.5,12,13.4,0.4
2012-02-21,0.045,42,54.5,21,10.2,0.7
2012-02-22,0.046,43,60.5,12,7.3,0.8
2012-02-23,0.046,43,62.5,25,10.5,0.7
2012-02-24,0.045,42,61,38,20.1,0.7
2012-02-25,0.049,45,58,12,17.6,0.4
2012-02-26,0.047,44,49,8,14.9,0.4
2012-02-27,0.044,41,48.5,14,6.7,0.2
2012-02-28,0.039,36,43.5,16,8.2,0.4
2012-02-29,0.045,42,43.5,11,8.7,0.5
2012-03-01,0.042,39,52,18,5.7,0.3
2012-03-02,0.047,44,52.5,12,6.6,0.4
2012-03-03,0.047,44,59.5,5,5.2,0.6
2012-03-04,0.048,44,69.5,6,5.5,0.7
2012-03-05,0.052,48,66.5,15,9.8,0.9
2012-03-06,0.042,39,48,14,15.4,0.5
2012-03-07,0.049,45,51,11,7.8,0.4
2012-03-08,0.053,49,53,5,9,0.7
2012-03-09,0.054,50,62,7,8.5,0.6
2012-03-10,0.06,67,59.5,15,10.4,0.5
2012-03-11,0.052,48,53.5,6,14.7,0.3
2012-03-12,0.043,40,50,13,9,0.3
2012-03-13,0.049,45,53.5,11,7,0.3
2012-03-14,0.045,42,53,14,8.6,0.3
2012-03-15,0.038,35,53,10,7,0.3
2012-03-16,0.046,42.5,52,9,7.9,0.4
2012-03-17,0.05,46.25,51.5,8.5,8.35,0.45
2012-03-18,0.052,48.125,51.25,8.25,8.575,0.475
2012-03-19,0.053,49.0625,51.125,8.125,8.6875,0.4875
2012-03-20,0.054,50,51,8,8.8,0.5
2012-03-21,0.059,64,54.5,13,9.7,0.7
2012-03-22,0.057,58,59.5,17,7.9,0.7
2012-03-23,0.035,32,56,15,9.8,0.3
2012-03-24,0.042,39,53.5,10,12.5,0.3
2012-03-25,0.047,44,55.5,2,4.6,0.3
2012-03-26,0.052,48,54,9,4.2,0.3
2012-03-27,0.052,48,54,8,5.7,0.4
2012-03-28,0.05,46,52.5,10,4.4,0.4
2012-03-29,0.045,42,57.5,13,8.4,0.3
2012-03-30,0.049,45,57,18,15.3,0.3
2012-03-31,0.042,39,51,9,7,0.3
2012-04-01,0.05,46,57,2,6.1,0.3
2012-04-02,0.055,51,54.5,6,8,0.4
2012-04-03,0.062,74,59.5,12,10.2,0.6
2012-04-04,0.055,51,58.5,19,12.1,0.5
2012-04-05,0.053,49,55,20,16.7,0.3
2012-04-06,0.059,64,53.5,14,9.9,0.4
2012-04-07,0.071,101,62.5,11,14.2,0.6
2012-04-08,0.071,101,64,7,16.2,0.5
2012-04-09,0.06,67,64.5,11,11,0.6
2012-04-10,0.056,54,57,10,14.6,0.4
2012-04-11,0.047,44,53.5,3,6,0.2
2012-04-12,0.049,45,52.5,3,4.4,0.3
2012-04-13,0.051,47,50.5,11,6.2,0.2
2012-04-14,0.049,45,46,2,10,0.4
2012-04-15,0.053,49,51,6,8,0.5
2012-04-16,0.061,71,60.5,14,10.2,0.5
2012-04-17,0.068,93,65,15,10,0.6
2012-04-18,0.057,58,62.5,17,13,0.5
2012-04-19,0.054,50,63.5,26,17.9,0.4
2012-04-20,0.054,50,70,30,20.1,0.4
2012-04-21,0.075,115,70.5,20,24.3,0.5
2012-04-22,0.066,87,62.5,10,24.8,0.4
2012-04-23,0.033,31,56.5,5,6.7,0.3
2012-04-24,0.04,37,61,13,5,0.4
2012-04-25,0.039,36,65.5,16,9.2,0.4
2012-04-26,0.044,41,58,3,5.4,0.2
2012-04-27,0.048,44,59,9,7.1,0.2
2012-04-28,0.059,64,62.5,9,11,0.3
2012-04-29,0.053,49,59.5,5,15,0.3
2012-04-30,0.037,34,61,12,8.3,0.3
2012-05-01,0.051,47,59.5,6,10.7,0.2
2012-05-02,0.046,43,57.5,7,7,0.2
2012-05-03,0.054,50,59.5,6,9.7,0.2
2012-05-04,0.051,47,60.5,12,11.7,0.3
2012-05-05,0.062,74,59,9,16.6,0.3
2012-05-06,0.063,77,59.5,6,13.3,0.3
2012-05-07,0.06,67,62.5,19,21.2,0.3
2012-05-08,0.07,100,63.5,21,24.8,0.4
2012-05-09,0.063,77,67.5,26,18.1,0.4
2012-05-10,0.062,74,64,12,18.2,0.3
2012-05-11,0.063,77,62,14,20.2,0.3
2012-05-12,0.065,84,62.5,12,13.2,0.3
2012-05-13,0.065,84,62.5,8,20.4,0.3
2012-05-14,0.063,77,65,20,15.5,0.3
2012-05-15,0.057,58,62,15,9.5,0.3
2012-05-16,0.055,53.5,61.5,12,12.3,0.25
2012-05-17,0.054,51.25,61.25,10.5,13.7,0.225
2012-05-18,0.053,49,61,9,15.1,0.2
2012-05-19,0.063,77,63.5,14,22.6,0.3
2012-05-20,0.074,112,66,12,24.6,0.3
2012-05-21,0.076,119,74,20,16.2,0.5
2012-05-22,0.075,115,69,23,18.5,0.3
2012-05-23,0.054,50,63.5,20,21,0.3
2012-05-24,0.053,49,61.5,10,11.5,0.2
2012-05-25,0.043,40,57.5,8,9.8,0.2
2012-05-26,0.049,45,55,4,10.3,0.2
2012-05-27,0.05,46,58,5,9,0.2
2012-05-28,0.063,77,61,9,14.6,0.3
2012-05-29,0.058,61,66,16,15.2,0.4
2012-05-30,0.054,50,62.5,23,12.2,0.3
2012-05-31,0.066,87,67,24,18,0.3
2012-06-01,0.07,100,70.5,28,20.7,0.4
2012-06-02,0.055,51,67,13,8,0.2
2012-06-03,0.052,48,64.5,8,11.9,0.2
2012-06-04,0.042,39,64.5,12,9.3,0.2
2012-06-05,0.054,50,64.5,7,6.7,0.2
2012-06-06,0.065,84,62,10,13.6,0.2
2012-06-07,0.069,97,66,16,18,0.3
2012-06-08,0.063,77,67.5,21,14.2,0.3
2012-06-09,0.058,61,62,12,18.8,0.3
2012-06-10,0.058,61,62,9,18.6,0.2
2012-06-11,0.058,61,64,19,14.1,0.3
2012-06-12,0.067,90,67.5,22,19,0.3
2012-06-13,0.065,84,66,24,18.6,0.3
2012-06-14,0.051,47,63,11,5.7,0.2
2012-06-15,0.043,40,62,9,10.2,0.2
2012-06-16,0.06,67,68,10,12,0.2
2012-06-17,0.07,100,74.5,17,11.1,0.3
2012-06-18,0.065,84,74,31,16.3,0.3
2012-06-19,0.053,49,67.5,26,14.7,0.3
2012-06-20,0.055,51,64.5,16,15.1,0.2
2012-06-21,0.063,77,63.5,19,16.2,0.2
2012-06-22,0.057,58,65.5,22,16.3,0.3
2012-06-23,0.05,46,64.5,15,7.7,0.2
2012-06-24,0.047,44,66,12,11.5,0.2
2012-06-25,0.053,49,66,17,11.2,0.2
2012-06-26,0.057,58,66,14,8,0.3
2012-06-27,0.063,77,70.5,17,13.2,0.3
2012-06-28,0.064,80,72.5,18,16.5,0.3
2012-06-29,0.065,84,73,13,11.3,0.3
2012-06-30,0.069,97,71.5,17,13.2,0.3
2012-07-01,0.054,50,69.5,16,11.5,0.2
2012-07-02,0.042,39,69,12,5.5,0.2
2012-07-03,0.046,43,66.5,11,11.2,0.2
2012-07-04,0.049,45,66,7,12.3,0.2
2012-07-05,0.05,46,68,14,5.5,0.2
