"Date","Ozone","AQI","Temp"
2012-01-01,0.041,38,67
2012-01-02,0.039,36,64.5
2012-01-03,0.036,33,64.5
2012-01-04,0.04,37,68.5
2012-01-05,0.018,17,67
2012-01-06,0.019,18,60.5
2012-01-07,0.04,37,57
2012-01-08,0.039,36,56.5
2012-01-09,0.014,13,53.5
2012-01-10,0.014,13,54
2012-01-11,0.013,12,54.5
2012-01-12,0.04,37,58
2012-01-13,0.042,39,59
2012-01-14,0.035,32,57
2012-01-15,0.041,38,53
2012-01-16,0.037,34,49
2012-01-17,0.039,36,43
2012-01-18,0.04,37,48.5
2012-01-19,0.033,31,51
2012-01-20,0.032,30,49.5
2012-01-21,0.033,31,50.5
2012-01-22,0.041,38,46
2012-01-23,0.034,31,47
2012-01-24,0.038,35,50
2012-01-25,0.033,31,62
2012-01-26,0.038,35,62.5
2012-01-27,0.04,37,60
2012-01-28,0.044,41,59
2012-01-29,0.044,41,56.5
2012-01-30,0.046,43,57
2012-01-31,0.041,38,55.5
2012-02-01,0.043,40,50
2012-02-02,0.043,40,51.5
2012-02-03,0.043,40,53
2012-02-04,0.046,43,53.5
2012-02-05,0.048,44,55.5
2012-02-06,0.039,36,58
2012-02-07,0.037,34,52
2012-02-08,0.044,41,55
2012-02-09,0.043,40,60.5
2012-02-10,0.044,41,60.5
2012-02-11,0.04,37,51
2012-02-12,0.037,34,50
2012-02-13,0.038,35,50
2012-02-14,0.038,35,47
2012-02-15,0.037,34,46
2012-02-16,0.041,38,48
2012-02-17,0.04,37,51.5
2012-02-18,0.041,38,48
2012-02-19,0.042,39,50.5
2012-02-20,0.041,38,47.5
2012-02-21,0.045,42,54.5
2012-02-22,0.046,43,60.5
2012-02-23,0.046,43,62.5
2012-02-24,0.045,42,61
2012-02-25,0.049,45,58
2012-02-26,0.047,44,49
2012-02-27,0.044,41,48.5
2012-02-28,0.039,36,43.5
2012-02-29,0.045,42,43.5
2012-03-01,0.042,39,52
2012-03-02,0.047,44,52.5
2012-03-03,0.047,44,59.5
2012-03-04,0.048,44,69.5
2012-03-05,0.052,48,66.5
2012-03-06,0.042,39,48
2012-03-07,0.049,45,51
2012-03-08,0.053,49,53
2012-03-09,0.054,50,62
2012-03-10,0.06,67,59.5
2012-03-11,0.052,48,53.5
2012-03-12,0.043,40,50
2012-03-13,0.049,45,53.5
2012-03-14,0.045,42,53
2012-03-15,0.038,35,53
2012-03-16,0.032,30,56.5
2012-03-17,0.045,42,49.5
2012-03-18,0.044,41,40.5
2012-03-19,0.043,40,44
2012-03-20,0.054,50,51
2012-03-21,0.059,64,54.5
2012-03-22,0.057,58,59.5
2012-03-23,0.035,32,56
2012-03-24,0.042,39,53.5
2012-03-25,0.047,44,55.5
2012-03-26,0.052,48,54
2012-03-27,0.052,48,54
2012-03-28,0.05,46,52.5
2012-03-29,0.045,42,57.5
2012-03-30,0.049,45,57
2012-03-31,0.042,39,51
2012-04-01,0.05,46,57
2012-04-02,0.055,51,54.5
2012-04-03,0.062,74,59.5
2012-04-04,0.055,51,58.5
2012-04-05,0.053,49,55
2012-04-06,0.059,64,53.5
2012-04-07,0.071,101,62.5
2012-04-08,0.071,101,64
2012-04-09,0.06,67,64.5
2012-04-10,0.056,54,57
2012-04-11,0.047,44,53.5
2012-04-12,0.049,45,52.5
2012-04-13,0.051,47,50.5
